Mass percent Cr	Invariant: BCC_B2 C15_LAVES HCP_A3	Mass percent Cr [1]	Invariant: BCC_B2 BCC_B2#2 HCP_A3	Mass percent Cr [2]	BCC_B2 + C15_LAVES	Mass percent Cr [3]	BCC_B2 + HCP_A3	Mass percent Cr [4]	BCC_B2#2 + BCC_B2	Mass percent Cr [5]	C15_LAVES + HCP_A3
66.10893	27.59129	50.22945	38.08538	98.13594	0.98191	66.10893	27.59129	13.37084	16.30773	61.53468	3.92436
61.53468	3.92436	13.37084	16.30773	98.13792	0.97999	66.10648	27.59320	13.37092	16.30887	61.53662	3.92262
0.40186	0.66895	0.28945	1.29453	99.12486	0.02145	64.87353	28.55144	13.46859	17.47752	63.46628	2.18751
66.10893	27.59129	50.22945	38.08538	99.14028	0.00645	63.61698	29.50936	13.60728	18.70571	65.38849	0.44904
				99.14413	0.00270	62.33332	30.46708	13.79162	19.99776	65.86769	0.01414
				99.14606	0.00082	61.01820	31.42475	14.02798	21.36077	65.88265	0.00055
				99.14654	0.00036	59.66612	32.38252	14.32516	22.80417	65.88312	0.00013
				99.14678	0.00012	58.26992	33.34061	14.69570	24.34097	65.88324	0.00002
				99.14690	4.44287E-6	56.82012	34.29927	15.15825	25.98995	65.88325	7.25974E-6
				99.14691	7.81340E-7	55.30355	35.25885	15.74243	27.78011	65.88326	6.22726E-7
				99.14691	7.81340E-7	53.70112	36.21981	15.91277	28.25479	65.88326	6.22726E-7
				67.93974	0.02219	51.98318	37.18283	15.95715	28.37541	0.40186	0.66895
				67.93982	0.02214	50.22945	38.08538	15.97962	28.43602	0.40186	0.66865
				67.97724	0.00045	0.40186	0.66895	15.99092	28.46641	0.40333	0.37051
				67.97778	0.00014	0.40184	0.66904	15.99234	28.47021	0.40465	0.07555
				67.97792	0.00006	0.39139	0.71588	15.99376	28.47401	0.40496	0.00238
				67.97799	0.00002	0.38101	0.76457	15.99446	28.47591	0.40497	0.00009
